County,Candidate,Party,Votes
Tehama,Jorgensen,LIB,403
Tehama,De La Fuente Guerra,AI,111
Tehama,Hawkins,GRN,90
Tehama,La Riva,PF,65
Tehama,Carroll,(W/I),7
Tehama,Charles,(W/I),2
Tehama,Ventura,(W/I),1
Tehama,Kishore,(W/I),0
Tehama,Pierce,(W/I),0
Trinity,Trump*,REP,3188
Trinity,Biden,DEM,2851
Trinity,Jorgensen,LIB,117
Trinity,Hawkins,GRN,50
Trinity,De La Fuente Guerra,AI,27
Trinity,La Riva,PF,25
Trinity,Ventura,(W/I),1
Trinity,Carroll,(W/I),0
Trinity,Charles,(W/I),0
Trinity,Kishore,(W/I),0
Trinity,Pierce,(W/I),0
Tulare,Trump*,REP,77579
Tulare,Biden,DEM,66105
Tulare,Jorgensen,LIB,1498
Tulare,De La Fuente Guerra,AI,632
Tulare,La Riva,PF,535
Tulare,Hawkins,GRN,483
Tulare,Carroll,(W/I),46
Tulare,Charles,(W/I),4
Tulare,Ventura,(W/I),2
Tulare,Pierce,(W/I),1
Tulare,Kishore,(W/I),0
Tuolumne,Trump*,REP,17689
Tuolumne,Biden,DEM,11978
Tuolumne,Jorgensen,LIB,439
Tuolumne,Hawkins,GRN,145
Tuolumne,De La Fuente Guerra,AI,91
Tuolumne,La Riva,PF,59
Tuolumne,Carroll,(W/I),4
Tuolumne,Charles,(W/I),2
Tuolumne,Ventura,(W/I),1
Tuolumne,Kishore,(W/I),0
Tuolumne,Pierce,(W/I),0
Ventura,Biden,DEM,251388
Ventura,Trump*,REP,162207
Ventura,Jorgensen,LIB,5069
Ventura,Hawkins,GRN,1766
Ventura,De La Fuente Guerra,AI,1278
Ventura,La Riva,PF,990
Ventura,Carroll,(W/I),84
Ventura,Ventura,(W/I),17
Ventura,Charles,(W/I),16
Ventura,Kishore,(W/I),5
Ventura,Pierce,(W/I),5
Yolo,Biden,DEM,67598
Yolo,Trump*,REP,27292
Yolo,Jorgensen,LIB,1206
Yolo,Hawkins,GRN,547
Yolo,La Riva,PF,323
Yolo,De La Fuente Guerra,AI,298
Yolo,Carroll,(W/I),24
Yolo,Charles,(W/I),3
Yolo,Ventura,(W/I),2
Yolo,Kishore,(W/I),1
Yolo,Pierce,(W/I),0
Yuba,Trump*,REP,17676
Yuba,Biden,DEM,11230
Yuba,Jorgensen,LIB,510
Yuba,De La Fuente Guerra,AI,153
Yuba,Hawkins,GRN,124
Yuba,La Riva,PF,94
Yuba,Carroll,(W/I),4
Yuba,Charles,(W/I),4
Yuba,Ventura,(W/I),1
Yuba,Kishore,(W/I),0
Yuba,Pierce,(W/I),0
